CustomerID,ItemID,OrderDate,Quantity,UnitPrice,Tax
1689,15,2019-07-01,1,3399.989990234375,271.99920654296875
2629,65,2019-07-01,1,3578.27001953125,286.2615966796875
5001,55,2019-07-01,1,3578.27001953125,286.2615966796875
6098,25,2019-07-01,1,3399.989990234375,271.99920654296875
6499,76,2019-07-01,1,699.0982055664062,55.92789840698242
7300,55,2019-07-01,1,3578.27001953125,286.2615966796875
9221,15,2019-07-01,1,3399.989990234375,271.99920654296875
11792,96,2019-07-01,1,3374.989990234375,269.99920654296875
375,100,2019-07-02,1,3578.27001953125,286.2615966796875
766,31,2019-07-02,1,699.0982055664062,55.92789840698242
