event_id,event,user_id,item_id,item_quantity,event_time,os,page,url,item_name,item_price
0e1a52c666d90ae12e15ab38db5a0934,entered_payment_method,14,13,0,2023-07-19T15:07:55.186,ios,apparel,www.example.com,Jacket,15.00
0e1a52c666d90ae12e15ab38db5a0934,entered_payment_method,14,13,0,2023-07-19T15:07:55.186,ios,apparel,www.example.com,Jacket,15.00
16262a14778a9dc275449be9b9391b4d,clicked_item_description,42,43,0,2023-07-19T15:08:01.428,android,home,www.example.com,Cutting board,20.00
16262a14778a9dc275449be9b9391b4d,clicked_item_description,42,43,0,2023-07-19T15:08:01.428,android,home,www.example.com,Cutting board,20.00
1b595edffb601c8376e3e2f733fba455,clicked_item_description,7,32,0,2023-07-19T15:07:48.007,android,electronics,www.example.com,Keyboard,20.00
1b595edffb601c8376e3e2f733fba455,clicked_item_description,7,32,0,2023-07-19T15:07:48.007,android,electronics,www.example.com,Keyboard,20.00
1e2b6582fc9d74184d81de48be46a34e,liked_item,29,13,0,2023-07-19T15:07:50.053,android,apparel,www.example.com,Jacket,15.00
1e2b6582fc9d74184d81de48be46a34e,liked_item,29,13,0,2023-07-19T15:07:50.053,android,apparel,www.example.com,Jacket,15.00
1e7ef7b0751946f80bfc430b8e2e4217,entered_payment_method,17,43,0,2023-07-19T15:07:50.066,web,home,www.example.com,Cutting board,20.00
1e7ef7b0751946f80bfc430b8e2e4217,entered_payment_method,17,43,0,2023-07-19T15:07:50.066,web,home,www.example.com,Cutting board,20.00
273c3476153b431b759166fa72fd9f00,clicked_review,5,23,0,2023-07-19T15:07:56.282,ios,food,www.example.com,Noodle,6.00
273c3476153b431b759166fa72fd9f00,clicked_review,5,23,0,2023-07-19T15:07:56.282,ios,food,www.example.com,Noodle,6.00
28be29e95d0f0146c9e8ee7cc2f2861d,liked_item,10,21,0,2023-07-19T15:07:51.095,android,food,www.example.com,Pasta Sauce,8.00
28be29e95d0f0146c9e8ee7cc2f2861d,liked_item,10,21,0,2023-07-19T15:07:51.095,android,food,www.example.com,Pasta Sauce,8.00
2b85607cb85bd58617678c369de66a77,clicked_item_description,42,43,0,2023-07-19T15:07:56.224,android,home,www.example.com,Cutting board,20.00
2b85607cb85bd58617678c369de66a77,clicked_item_description,42,43,0,2023-07-19T15:07:56.224,android,home,www.example.com,Cutting board,20.00
362374ac94c42dd22e71a8b37f999db1,clicked_review,46,13,0,2023-07-19T15:07:56.263,android,apparel,www.example.com,Jacket,15.00
362374ac94c42dd22e71a8b37f999db1,clicked_review,46,13,0,2023-07-19T15:07:56.263,android,apparel,www.example.com,Jacket,15.00
38612b3380dfaf0d7ed3bf6529e16258,reviewed_item,6,12,0,2023-07-19T15:07:55.204,ios,apparel,www.example.com,TShirt,5.00
38612b3380dfaf0d7ed3bf6529e16258,reviewed_item,6,12,0,2023-07-19T15:07:55.204,ios,apparel,www.example.com,TShirt,5.00
399b4a4eefd5eda6a5337d3080974bb6,purchased_item,50,53,3,2023-07-19T15:07:54.131,web,books,www.example.com,Learning Python,30.00
399b4a4eefd5eda6a5337d3080974bb6,purchased_item,50,53,3,2023-07-19T15:07:54.131,web,books,www.example.com,Learning Python,30.00
3a1768f970a744ffbaf0841f35ddff82,purchased_item,34,32,2,2023-07-19T15:07:51.076,android,electronics,www.example.com,Keyboard,20.00
3a1768f970a744ffbaf0841f35ddff82,purchased_item,34,32,2,2023-07-19T15:07:51.076,android,electronics,www.example.com,Keyboard,20.00
3ab01ba73b1f1c4817506d374c9179e1,liked_item,20,52,0,2023-07-19T15:07:58.324,android,books,www.example.com,Cookbook,15.00
3ab01ba73b1f1c4817506d374c9179e1,liked_item,20,52,0,2023-07-19T15:07:58.324,android,books,www.example.com,Cookbook,15.00
42a8c9380ee066accbcccb6dac2ea767,clicked_review,47,53,0,2023-07-19T15:08:00.379,android,books,www.example.com,Learning Python,30.00
42a8c9380ee066accbcccb6dac2ea767,clicked_review,47,53,0,2023-07-19T15:08:00.379,android,books,www.example.com,Learning Python,30.00
46b06ce62f6430b7cf92e6fb80c7e102,entered_payment_method,3,43,0,2023-07-19T15:07:44.942,android,home,www.example.com,Cutting board,20.00
46b06ce62f6430b7cf92e6fb80c7e102,entered_payment_method,3,43,0,2023-07-19T15:07:44.942,android,home,www.example.com,Cutting board,20.00
4891b414c49fb32567b7b4ec5659ea2d,purchased_item,20,32,3,2023-07-19T15:07:53.117,android,electronics,www.example.com,Keyboard,20.00
4891b414c49fb32567b7b4ec5659ea2d,purchased_item,20,32,3,2023-07-19T15:07:53.117,android,electronics,www.example.com,Keyboard,20.00
4b4fb6092c6680a4f60f1e41a2a91777,clicked_item_description,21,53,0,2023-07-19T15:07:56.253,ios,books,www.example.com,Learning Python,30.00
4b4fb6092c6680a4f60f1e41a2a91777,clicked_item_description,21,53,0,2023-07-19T15:07:56.253,ios,books,www.example.com,Learning Python,30.00
4b5141dc45a3e279bdd0df407dfe0894,purchased_item,31,52,5,2023-07-19T15:07:54.154,android,books,www.example.com,Cookbook,15.00
4b5141dc45a3e279bdd0df407dfe0894,purchased_item,31,52,5,2023-07-19T15:07:54.154,android,books,www.example.com,Cookbook,15.00
4b7ff75e0883d022b7f89ca49bc4ae1c,liked_item,5,12,0,2023-07-19T15:07:40.877,ios,apparel,www.example.com,TShirt,5.00
4b7ff75e0883d022b7f89ca49bc4ae1c,liked_item,5,12,0,2023-07-19T15:07:40.877,ios,apparel,www.example.com,TShirt,5.00
4b9e6b9aebb6f147515df1f0707103cb,clicked_item_description,45,41,0,2023-07-19T15:07:41.890,android,home,www.example.com,Dinner set,30.00
4b9e6b9aebb6f147515df1f0707103cb,clicked_item_description,45,41,0,2023-07-19T15:07:41.890,android,home,www.example.com,Dinner set,30.00
4d20070f2085d24374d76b211234db01,liked_item,40,12,0,2023-07-19T15:07:44.952,web,apparel,www.example.com,TShirt,5.00
4d20070f2085d24374d76b211234db01,liked_item,40,12,0,2023-07-19T15:07:44.952,web,apparel,www.example.com,TShirt,5.00
